City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,atafu village,-8.5421,-172.5159,302.24,75,62,6.75,TK,1682458329
84,iqaluit,63.7506,-68.5145,272.0,100,100,1.54,CA,1682458181
85,zhaoqing,23.0512,112.4597,287.85,89,0,1.3,CN,1682458330
86,birobidzhan,48.8,132.95,276.89,51,26,3.49,RU,1682458331
87,ciudad de armeria,18.9333,-103.9667,302.16,49,100,3.99,MX,1682458331
88,invercargill,-46.4,168.35,284.83,82,100,0.89,NZ,1682458294
89,labrador city,52.9463,-66.9114,284.1,32,40,1.54,CA,1682458225
90,avarua,-21.2078,-159.775,302.18,65,90,3.09,CK,1682458271
91,pandan,14.0453,124.1694,299.11,84,27,3.63,PH,1682458307
92,baskale,38.0453,44.0172,277.99,70,69,0.43,TR,1682458333
93,lethem,3.3803,-59.7968,298.18,94,100,6.17,GY,1682458333
94,lensk,60.7253,114.9278,270.21,89,100,1.93,RU,1682458334
95,lishui,28.4604,119.9103,286.65,97,94,1.25,CN,1682458334
96,shingu,33.7333,135.9833,291.17,98,100,6.7,JP,1682458324
97,yambio,4.5721,28.3955,292.55,88,100,1.15,SS,1682458338
98,jamestown,42.097,-79.2353,282.33,61,100,6.17,US,1682458338
99,conde,-7.2597,-34.9075,299.85,89,75,4.12,BR,1682458340
100,port lincoln,-34.7333,135.8667,293.87,54,100,6.45,AU,1682458230
101,inhambane,-23.865,35.3833,295.06,83,0,3.31,MZ,1682458341
102,toliara,-23.35,43.6667,293.34,83,3,5.34,MG,1682458341
103,saint-francois,46.4154,3.9054,280.35,79,0,1.54,FR,1682458341
104,yeppoon,-23.1333,150.7333,292.03,75,26,8.41,AU,1682458342
105,bilibino,68.0546,166.4372,271.53,68,25,1.34,RU,1682458251
106,khandud,36.9513,72.318,273.47,63,78,0.68,AF,1682458342
107,usinsk,65.9939,57.5281,266.2,94,10,3.34,RU,1682458300
108,port mathurin,-19.6833,63.4167,299.13,81,12,7.22,MU,1682458343
109,port saint john's,-31.6229,29.5448,295.29,90,81,3.25,ZA,1682458344
110,vorkuta,67.5,64.0,259.78,100,52,3.74,RU,1682458344
111,contes,43.8128,7.3144,290.36,55,0,1.03,FR,1682458345
112,xinyuan,37.3,99.0,272.52,23,0,1.46,CN,1682458345
113,kingscliff,-28.2667,153.5667,292.44,88,75,4.12,AU,1682458346
114,frederico westphalen,-27.3592,-53.3944,290.06,98,100,3.34,BR,1682458346
115,sitka,57.0531,-135.33,280.09,70,100,3.6,US,1682458347
116,dunda,-8.1167,34.25,291.54,93,58,1.06,TZ,1682458348
117,huarmey,-10.0681,-78.1522,299.47,72,75,4.78,PE,1682458348
118,cabo san lucas,22.8909,-109.9124,302.93,36,0,6.17,MX,1682458349
119,usogorsk,63.4106,48.6872,273.77,99,100,1.65,RU,1682458349
120,rongelap,11.1635,166.8941,298.6,87,100,10.59,MH,1682458350
121,sao jose da coroa grande,-8.8978,-35.1478,298.65,85,80,2.79,BR,1682458350
122,mont-dore,-22.2833,166.5833,298.15,99,99,2.92,NC,1682458204
